SHI,N,P,K,pH,Crop,Urea (kg/ha),TSP (kg/ha),MoP (kg/ha)
70,10.89,8.89,59.32,6.73,Boro rice,102.0,73.0,55.0
57,7.78,3.6,35.63,5.35,Aus rice,108.0,54.0,26.0
36,12.39,8.82,47.83,6.98,Aus rice,88.8,96.0,36.0
55,11.85,10.32,56.98,6.97,Boro rice,81.0,34.0,44.0
62,9.2,14.27,29.53,5.21,Boro rice,73.0,43.0,31.0
89,12.23,14.72,29.43,5.15,Aman rice,70.5,29.8,50.1
55,12.19,3.12,21.81,5.01,Aus rice,73.0,39.0,26.0
33,18.4,3.71,27.66,5.51,Aman rice,108.0,91.2,46.8
57,9.96,11.52,36.58,6.98,Aus rice,126.0,49.0,21.0
44,17.17,12.58,37.62,4.65,Boro rice,127.2,55.2,58.8
62,9.72,14.36,23.79,7.95,Aus rice,93.0,71.0,44.0
70,12.41,7.7,23.66,5.45,Aus rice,103.0,45.0,44.0
77,17.16,13.76,50.41,5.88,Boro rice,67.1,64.6,30.6
73,14.45,3.77,25.22,7.08,Aman rice,116.0,31.0,50.0
80,17.19,12.78,32.51,4.56,Boro rice,114.8,38.2,35.7
79,18.62,3.76,46.85,5.17,Aman rice,93.5,55.2,48.4
73,10.46,5.63,52.83,5.67,Aman rice,122.0,54.0,30.0
40,15.85,14.42,32.67,6.29,Aus rice,136.8,76.8,64.8
35,10.84,14.5,43.52,7.09,Boro rice,104.4,61.2,40.8
88,12.14,9.64,22.22,6.28,Boro rice,97.8,44.2,42.5
37,8.12,14.09,27.36,5.75,Aus rice,93.6,44.4,24.0
40,9.93,3.3,47.82,4.66,Aman rice,146.4,72.0,58.8
63,15.05,6.98,57.38,7.69,Aman rice,106.0,52.0,49.0
43,6.71,12.31,50.21,5.42,Boro rice,85.2,82.8,31.2
45,15.49,10.87,46.27,6.9,Aman rice,84.0,46.8,26.4
80,7.5,7.22,30.35,7.41,Aman rice,76.5,68.0,24.6
70,17.97,12.91,37.33,4.93,Aman rice,101.0,71.0,20.0
55,16.79,3.86,23.46,5.61,Boro rice,91.0,67.0,24.0
88,17.78,12.27,58.11,6.41,Boro rice,66.3,39.9,42.5
61,11.87,14.59,50.68,6.66,Aus rice,83.0,62.0,53.0
57,18.96,7.18,29.99,6.48,Aus rice,104.0,45.0,53.0
66,14.61,9.66,23.09,4.61,Boro rice,77.0,36.0,32.0
60,16.94,4.47,22.3,7.69,Aman rice,125.0,66.0,32.0
79,6.39,7.59,29.06,5.0,Aman rice,110.5,50.1,28.1
56,14.91,7.57,38.78,5.82,Aus rice,111.0,37.0,50.0
88,15.89,3.32,26.6,4.53,Aman rice,60.4,48.4,49.3
52,14.63,9.24,45.72,6.89,Aus rice,130.0,70.0,22.0
66,11.28,10.78,43.48,6.06,Aman rice,93.0,33.0,30.0
38,12.96,10.73,29.4,6.6,Aus rice,159.6,90.0,63.6
54,18.83,7.44,51.37,7.61,Boro rice,83.0,50.0,49.0
72,10.11,3.23,53.29,5.56,Boro rice,118.0,70.0,29.0
68,11.21,11.82,51.92,4.56,Boro rice,91.0,55.0,50.0
63,8.84,6.5,55.05,6.1,Aus rice,73.0,74.0,22.0
86,18.0,13.89,21.66,5.18,Aus rice,96.0,58.6,32.3
73,13.62,14.18,46.11,6.76,Aman rice,126.0,39.0,23.0
74,10.44,4.74,46.42,6.45,Aus rice,131.0,80.0,40.0
54,9.88,6.7,38.48,5.28,Aus rice,140.0,46.0,28.0
53,16.39,7.53,23.41,5.41,Aus rice,138.0,70.0,38.0
74,16.52,5.09,35.02,4.59,Aus rice,96.0,30.0,36.0
34,6.01,3.75,40.85,5.08,Boro rice,156.0,63.6,61.2
69,8.25,13.28,38.58,5.12,Boro rice,85.0,66.0,20.0
53,12.17,12.71,50.3,4.72,Aman rice,137.0,47.0,40.0
69,12.24,13.01,52.79,4.88,Aus rice,72.0,56.0,41.0
37,12.43,9.4,25.37,5.99,Boro rice,116.4,84.0,42.0
44,16.04,8.71,40.17,7.19,Aus rice,139.2,70.8,25.2
51,19.86,7.86,50.02,4.75,Aman rice,137.0,75.0,59.0
60,19.56,10.29,27.94,5.51,Aman rice,103.0,38.0,47.0
32,11.4,10.29,39.43,7.24,Aman rice,156.0,73.2,52.8
30,16.03,9.72,54.8,6.32,Boro rice,111.6,56.4,36.0
35,5.67,10.9,28.44,5.75,Aman rice,148.8,42.0,25.2
86,13.75,14.59,28.59,5.11,Aman rice,78.2,45.0,43.4
68,6.28,12.37,25.88,7.72,Aus rice,99.0,73.0,46.0
46,7.62,5.73,51.42,4.63,Aus rice,124.8,46.8,54.0
66,8.6,6.53,27.38,7.32,Aus rice,105.0,80.0,53.0
47,14.32,6.69,44.73,7.47,Aman rice,116.4,88.8,33.6
45,8.81,13.28,40.87,6.09,Boro rice,145.2,88.8,44.4
48,15.76,14.51,56.02,7.69,Boro rice,117.6,60.0,61.2
67,12.45,6.18,55.42,5.98,Boro rice,128.0,65.0,31.0
69,11.62,13.5,33.13,7.23,Boro rice,91.0,42.0,48.0
47,10.33,13.98,57.33,5.93,Boro rice,146.4,73.2,61.2
45,14.13,11.51,24.64,5.36,Aus rice,153.6,74.4,32.4
81,7.52,11.79,21.7,7.83,Aman rice,119.0,44.2,17.8
39,9.95,7.57,58.49,6.95,Aus rice,135.6,90.0,68.4
54,13.58,3.87,57.65,7.19,Aus rice,138.0,33.0,42.0
65,14.25,4.68,27.86,5.1,Aus rice,73.0,77.0,56.0
89,19.98,12.95,42.78,7.22,Aman rice,82.5,47.6,47.6
35,13.65,5.91,38.35,7.94,Aman rice,135.6,66.0,34.8
57,9.12,13.27,31.13,4.82,Aus rice,126.0,75.0,59.0
37,6.97,13.23,55.21,5.65,Aus rice,162.0,52.8,45.6
61,14.31,11.24,56.52,4.7,Aman rice,91.0,67.0,46.0
54,9.82,13.26,22.39,5.03,Aman rice,127.0,35.0,44.0
83,6.66,7.44,49.19,7.75,Aman rice,119.0,43.4,24.6
32,11.93,4.86,26.61,5.82,Boro rice,88.8,50.4,44.4
63,8.16,6.54,38.71,7.73,Boro rice,76.0,40.0,21.0
71,14.51,11.98,33.43,4.97,Aus rice,101.0,54.0,40.0
83,5.81,4.85,49.84,7.48,Aman rice,99.5,39.9,48.4
82,7.2,6.86,41.28,5.3,Aman rice,99.5,39.9,41.6
31,7.11,5.19,58.83,7.5,Aman rice,158.4,84.0,67.2
85,15.87,5.81,25.32,6.19,Aman rice,117.3,45.9,22.9
71,6.19,3.65,28.27,6.79,Aus rice,117.0,80.0,44.0
79,12.97,6.38,31.95,5.91,Aus rice,61.2,28.1,41.6
44,12.32,8.13,30.76,7.57,Aman rice,154.8,75.6,61.2
74,5.84,5.5,33.95,7.03,Boro rice,102.0,60.0,55.0
58,19.5,9.58,31.31,4.81,Aman rice,83.0,37.0,45.0
68,12.4,4.17,45.8,4.94,Aus rice,104.0,50.0,55.0
52,17.01,14.57,55.57,5.73,Aman rice,108.0,42.0,38.0
47,10.34,7.95,46.88,6.82,Boro rice,97.2,78.0,55.2
90,17.14,3.86,27.53,7.02,Aman rice,113.0,35.7,34.9
47,16.45,7.84,47.85,6.0,Aman rice,129.6,74.4,49.2
73,16.74,11.3,45.63,5.2,Aus rice,123.0,50.0,43.0
88,5.19,6.76,41.64,5.84,Boro rice,85.0,40.8,51.0
88,14.57,10.42,32.95,5.5,Aus rice,91.8,62.0,19.6
59,9.55,8.04,47.05,5.96,Aman rice,90.0,72.0,58.0
39,5.92,8.16,30.74,5.08,Aman rice,91.2,79.2,60.0
61,16.57,13.38,25.46,5.94,Boro rice,137.0,73.0,27.0
83,5.55,8.43,48.01,5.19,Aus rice,67.1,28.9,17.8
71,8.55,12.28,32.21,5.06,Boro rice,81.0,60.0,34.0
82,14.44,5.88,28.83,6.61,Aman rice,67.1,38.2,25.5
75,18.75,12.73,55.33,5.11,Aman rice,113.0,74.0,30.0
81,13.5,7.89,26.11,7.43,Aman rice,88.4,26.3,28.1
88,13.99,3.5,48.42,4.59,Boro rice,75.6,27.2,23.8
67,8.57,14.58,30.47,6.88,Aman rice,77.0,64.0,35.0
30,16.07,9.67,45.13,7.79,Aus rice,140.4,79.2,61.2
39,14.74,13.87,22.63,7.91,Boro rice,166.8,92.4,57.6
